Mercury_7175875,D
Mercury_SC_409171,A
Mercury_SC_408547,B
Mercury_407327,C
MCAS_2006_9_44,D
Mercury_7270393,D
MCAS_2014_5_7,A
Mercury_7086660,B
Mercury_7168805,A
MCAS_2003_8_11,C
Mercury_7250058,C
Mercury_7012740,A
Mercury_LBS10610,D
Mercury_SC_407400,D
Mercury_7212993,D
Mercury_SC_413240,B
Mercury_7186358,A
Mercury_7166425,C
MDSA_2007_8_3,D
Mercury_7094290,B
Mercury_7186568,A
Mercury_402216,C
Mercury_404894,C
MCAS_2002_8_11,A
Mercury_SC_405086,B
Mercury_SC_408324,D
Mercury_7218820,B
Mercury_412202,B
Mercury_SC_409139,B
Mercury_400687,B
Mercury_7171605,A
Mercury_7210245,C
AKDE&ED_2008_4_25,A
AKDE&ED_2008_4_19,B
Mercury_SC_400402,B
Mercury_7234308,B
ACTAAP_2014_5_8,A
Mercury_400407,A
Mercury_7116288,A
MCAS_2004_9_15-v1,A
NYSEDREGENTS_2015_4_26,B
Mercury_SC_401620,B
Mercury_400877,A
Mercury_7174213,D
NYSEDREGENTS_2008_8_34,B
Mercury_7212398,C
Mercury_SC_401290,A
Mercury_SC_402120,D
Mercury_184975,C
Mercury_SC_400578,A
MCAS_2001_8_4,D
MCAS_2003_5_33,B
Mercury_7068513,C
AKDE&ED_2008_4_26,B
Mercury_7235638,D
MDSA_2009_5_20,C
Mercury_178325,C
Mercury_7212678,D
TAKS_2009_8_32,C
Mercury_412681,D
Mercury_400440,B
Mercury_SC_416529,C
MCAS_2006_8_1,A
TIMSS_2003_8_pg80,A
Mercury_416645,B
Mercury_406777,A
Mercury_LBS11018,C
Mercury_7139878,D
Mercury_417147,A
Mercury_7016765,C
Mercury_415303,B
Mercury_7215845,D
Mercury_7136885,B
Mercury_SC_400059,A
Mercury_7044328,B
MEA_2010_8_1,B
Mercury_414099,D
Mercury_410807,C
Mercury_403234,B
Mercury_7011323,A
Mercury_7109463,C
Mercury_SC_401277,A
MCAS_2005_5_25,B
Mercury_SC_401272,C
Mercury_7103600,A
MDSA_2009_8_2,A
Mercury_7127943,C
ACTAAP_2009_7_8,B
MCAS_2006_9_43,A
Mercury_7252088,B
Mercury_7084665,A
FCAT_2008_5_2,A
Mercury_SC_414041,B
MCAS_2014_8_20,A
Mercury_SC_401116,B
Mercury_7064680,A
Mercury_7211680,D
Mercury_180373,C
Mercury_7216248,A
Mercury_SC_417677,D
Mercury_7221655,C
MCAS_2006_9_12,D
MCAS_2004_9_2,A
Mercury_180005,C
Mercury_7071523,C
Mercury_7263375,B
TIMSS_2011_8_pg102,C
Mercury_406550,C
Mercury_SC_400057,C
TAKS_2009_5_26,A
LEAP_2007_8_10417,D
Mercury_7027405,C
Mercury_7058415,C
Mercury_7215828,C
Mercury_7064575,A
Mercury_7097493,C
AKDE&ED_2008_8_47,C
Mercury_405136,C
Mercury_415086,C
Mercury_7228725,A
Mercury_7201740,D
MEAP_2005_8_21,B
Mercury_7026355,D
Mercury_7249708,D
Mercury_7107170,A
Mercury_183820,A
Mercury_SC_401357,D
NYSEDREGENTS_2008_8_11,D
Mercury_416650,C
NCEOGA_2013_5_20,C
Mercury_400500,C
Mercury_SC_401366,A
Mercury_7141610,C
Mercury_7247013,B
NYSEDREGENTS_2008_8_30,C
ACTAAP_2011_5_16,B
Mercury_7093153,D
Mercury_7013965,A
Mercury_7034843,B
Mercury_SC_407610,C
Mercury_405947,A
AKDE&ED_2012_8_6,A
Mercury_7011130,B
Mercury_LBS11022,D
TIMSS_1995_8_J1,A
Mercury_SC_408366,D
Mercury_7009993,D
Mercury_401699,B
Mercury_7056858,C
Mercury_7027160,A
Mercury_400811,B
Mercury_SC_400062,C
Mercury_400699,D
Mercury_7029803,B
Mercury_SC_401372,C
Mercury_7271128,D
Mercury_407260,A
Mercury_SC_416155,A
Mercury_402145,A
AIMS_2009_4_5,A
TIMSS_2003_4_pg7,B
Mercury_7142415,C
Mercury_7212818,A
Mercury_SC_413299,B
Mercury_7132020,B
MEA_2014_8_10,D
TIMSS_1995_8_N2,C
Mercury_7024465,A
Mercury_SC_415762,D
Mercury_415093,A
LEAP_2005_8_10404,D
AIMS_2008_8_6,A
Mercury_7057173,B
TIMSS_2007_8_pg60,A
AIMS_2009_8_14,A
Mercury_185010,B
Mercury_7206938,B
Mercury_402501,C
MCAS_2011_8_15365,B
Mercury_SC_401766,A
Mercury_7162400,D
Mercury_7086695,B
Mercury_SC_402994,A
Mercury_7056298,D
Mercury_409115,C
Mercury_409647,D
Mercury_414352,D
Mercury_185325,A
Mercury_SC_412374,C
Mercury_SC_401818,D
Mercury_SC_413549,A
Mercury_7093958,A
Mercury_7102323,A
Mercury_7222793,A
Mercury_SC_400701,A
Mercury_409301,A
Mercury_SC_400383,C
CSZ_2005_5_CSZ10021,A
Mercury_SC_407070,A
Mercury_SC_400708,C
Mercury_7075040,B
Mercury_7137165,B
Mercury_SC_400046,A
Mercury_7099330,A
MDSA_2007_5_2,D
Mercury_7271758,A
MCAS_2003_8_31,B
AKDE&ED_2008_8_53,C
TIMSS_2007_8_pg109,C
Mercury_175385,D
Mercury_410669,D
MEAP_2005_8_39,B
Mercury_SC_408568,A
AKDE&ED_2008_8_7,C
Mercury_7082845,D
Mercury_SC_405726,A
Mercury_SC_415407,A
Mercury_SC_401792,A
LEAP_2000_8_4,D
Mercury_SC_413439,D
ACTAAP_2014_7_13,A
Mercury_SC_402638,A
Mercury_SC_406725,A
NYSEDREGENTS_2015_4_29,C
Mercury_406136,B
MSA_2012_5_23,D
Mercury_405873,B
Mercury_7043820,A
MCAS_2005_5_34,B
Mercury_7182245,B
MSA_2012_8_30,D
Mercury_7252753,B
TAKS_2009_8_36,B
Mercury_SC_415473,B
Mercury_SC_413624,B
Mercury_7016800,D
Mercury_SC_407228,D
Mercury_414504,D
TIMSS_2011_4_pg27,A
Mercury_SC_402029,B
Mercury_7131845,A
Mercury_SC_405533,D
Mercury_7086748,B
MDSA_2007_8_17,A
Mercury_7210473,D
Mercury_7214340,D
MCAS_2005_9_17,A
MEA_2016_8_12,B
Mercury_SC_401278,D
Mercury_SC_407689,C
Mercury_7230405,A
Mercury_SC_405640,A
Mercury_7201775,B
Mercury_7177398,B
Mercury_7041423,D
Mercury_7004743,B
Mercury_7198468,D
MEA_2014_5_11,A
Mercury_410602,C
Mercury_7108868,C
Mercury_7033828,A
TIMSS_2007_4_pg19,B
Mercury_400828,C
VASoL_2008_3_16,D
LEAP__5_10315,B
Mercury_SC_415471,C
Mercury_7247065,D
MDSA_2011_5_3,D
MDSA_2009_5_39,A
